number ,AphidMummy,field,plot ,tube ,fertilization,parasitoid,endosymbiont,Mdir,Save,Rpad,Hden,Rins,EPpla,APrho,APuzb,APerv,APave,PRvol,PRgal,AEabd,ALvic,ASsus,ASvul,COcla,PHvil,DEcar
4272,mum,L,5,1,no,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4273,mum,L,5,1,no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4274,mum,L,5,1,no,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4275,mum,L,5,1,no,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4277,mum,L,5,1,no,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4278,mum,L,5,1,no,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4279,mum,L,5,1,no,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4280,mum,L,5,1,no,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4281,mum,L,5,1,no,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4286,mum,L,5,1,no,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4294,mum,L,2,1,yes,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
4295,mum,L,2,1,yes,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4296,mum,L,2,1,yes,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4315,mum,L,6,1,yes,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4316,mum,L,6,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4317,mum,L,6,1,yes,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4320,mum,L,6,1,yes,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4321,mum,L,6,1,yes,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4322,mum,L,6,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4323,mum,L,6,1,yes,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4324,mum,L,6,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4325,mum,L,6,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4326,mum,L,6,1,yes,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4327,mum,L,6,1,yes,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4329,mum,L,6,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4330,mum,L,6,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4332,mum,L,6,1,yes,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4334,mum,L,6,1,yes,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4335,mum,L,6,1,yes,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4336,mum,L,6,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4344,mum,L,4,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4348,mum,L,4,1,yes,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4349,mum,L,4,1,yes,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4352,mum,L,4,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
4354,mum,L,4,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4356,mum,L,4,1,yes,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4357,mum,L,4,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4359,mum,L,4,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4361,mum,L,4,1,yes,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4364,mum,L,3,1,no,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4365,mum,L,3,1,no,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4366,mum,L,3,1,no,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4367,mum,L,3,1,no,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4368,mum,L,3,1,no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4369,mum,L,3,1,no,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4370,mum,L,3,1,no,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4371,mum,L,3,1,no,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4372,mum,L,3,1,no,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4373,mum,L,3,1,no,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4374,mum,L,3,1,no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4375,mum,L,3,1,no,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4376,mum,L,3,1,no,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4377,mum,L,3,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3066,mum,H,1,1,no,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3236,aph,H,5,1,no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3239,mum,H,5,1,no,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3241,mum,H,5,1,no,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3293,aph,H,1,1,no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3301,aph,H,1,1,no,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3324,mum,H,1,1,no,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3333,aph,H,1,1,no,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3673,aph,L,4,1,yes,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3679,aph,L,4,1,yes,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3680,mum,L,4,1,yes,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3734,aph,L,2,1,yes,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3758,mum,L,2,1,yes,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4003,mum,L,6,1,yes,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
